Date,SST
2025-06-08,29.670000076293945
2025-06-09,29.559999465942383
2025-06-10,29.389999389648438
2025-06-11,29.35999870300293
2025-06-12,29.349998474121094
2025-06-13,29.229999542236328
2025-06-14,29.35999870300293
2025-06-15,29.439998626708984
2025-06-16,29.329999923706055
2025-06-17,29.17999839782715
2025-06-18,29.099998474121094
2025-06-19,29.119998931884766
2025-06-20,29.079999923706055
2025-06-21,29.349998474121094
2025-06-22,29.459999084472656
2025-06-23,29.209999084472656
2025-06-24,29.17999839782715
2025-06-25,29.17999839782715
2025-06-26,29.03999900817871
2025-06-27,28.989999771118164
2025-06-28,28.959999084472656
2025-06-29,28.8799991607666
2025-06-30,28.76999855041504
2025-07-01,28.719999313354492
2025-07-02,28.799999237060547
2025-07-03,28.729999542236328
2025-07-04,28.809999465942383
2025-07-05,28.8799991607666
2025-07-06,28.889999389648438
2025-07-07,28.779998779296875
2025-07-08,28.76999855041504
2025-07-09,28.849998474121094
2025-07-10,28.829999923706055
2025-07-11,28.84000015258789
2025-07-12,28.939998626708984
2025-07-13,29.09000015258789
2025-07-14,29.349998474121094
2025-07-15,29.40999984741211
2025-07-16,29.559999465942383
2025-07-17,29.349998474121094
2025-07-18,29.209999084472656
2025-07-19,29.19999885559082
2025-07-20,29.189998626708984
2025-07-21,29.0
2025-07-22,29.059999465942383
2025-07-23,28.969999313354492
2025-07-24,28.90999984741211
2025-07-25,28.869998931884766
2025-07-26,28.760000228881836
2025-07-27,28.760000228881836
2025-07-28,28.90999984741211
2025-07-29,29.01999855041504
2025-07-30,29.029998779296875
2025-07-31,29.119998931884766
2025-08-01,29.09000015258789
2025-08-02,29.26999855041504
2025-08-03,29.399999618530273
2025-08-04,29.329999923706055
2025-08-05,29.149999618530273
2025-08-06,28.989999771118164
2025-08-07,29.049999237060547
2025-08-08,29.09000015258789
2025-08-09,29.029998779296875
2025-08-10,29.010000228881836
2025-08-11,28.969999313354492
2025-08-12,28.869998931884766
2025-08-13,28.84000015258789
2025-08-14,28.959999084472656
2025-08-15,29.049999237060547
2025-08-16,28.8799991607666
2025-08-17,28.78999900817871
2025-08-18,28.899999618530273
2025-08-19,28.85999870300293
2025-08-20,28.739999771118164
2025-08-21,28.40999984741211
2025-08-22,28.5
2025-08-23,28.529998779296875
2025-08-24,28.75
2025-08-25,28.709999084472656
2025-08-26,28.75
2025-08-27,28.94999885559082
2025-08-28,29.149999618530273
2025-08-29,29.09000015258789
2025-08-30,29.17999839782715
2025-08-31,29.279998779296875
2025-09-01,29.119998931884766
2025-09-02,28.93000030517578
2025-09-03,29.010000228881836
2025-09-04,29.010000228881836
2025-09-05,28.953249440193176
2025-09-06,28.946249623298645
